Trait,0,1,2,3,4,5,Average
Role Sentiment,3,3,2,3,3,1,2.5
Team Perform Role,2,3,2,3,2,2,2.3333333333333335
Team Composition,1,1,2,3,3,1,1.8333333333333333
Team Set Goals,1,1,0,1,3,2,1.3333333333333333
Team Backlog,2,0,3,3,2,1,1.8333333333333333
Team Ceremonies,1,3,1,2,2,2,1.8333333333333333
Team Performance,1,1,1,1,2,1,1.1666666666666667
Customer Feedback,0,1,0,2,2,2,1.1666666666666667
Team Deployment,0,0,3,2,2,1,1.3333333333333333
Team Retrospectives,1,2,1,2,2,1,1.5
Team Experience,2,2,2,3,3,2,2.3333333333333335
Work Life Balance,1,3,1,1,3,2,1.8333333333333333
